common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,has_photo
Sitka spruce,521,Gaston,,,2.6,,2020,2020,San Juan River,Port Renfrew,First Nations,,hidden,,,Bushwhack in from spru road off of Harris Creek Main.,A big spruce with strong arms like Gaston,Ken Wu,TJ Watt,,,,1
bigleaf maple,522,Mossy Maple,,0,2.28,0,2020,2020,Mossy Maple Grove,Lake Cowichan,Institution/corp.,TimberWest,hidden,,,,A large bigleaf maple with a split trunk. Half appears to be dead but the other part is alive.,TJ Watt,,,,,1
western redcedar*,523,Lone Cedar,,,3.69,,2020,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.699033,-124.73786,,Bushwhack in from Rosander Mainline,A big redcedar standing alone amongst a forest of smaller hemlock trees.,TJ Watt,,,,,1
western redcedar*,524,Doobah Twizzler,,,4.04,,2019,2020,Doobah Lake,Lake Cowichan,Private land,,48.721457,-124.759505,,Take spur road off of Rosander Mainline towards Doobah Lake.,"A giant, twirling redcedar tree growing at Doobah Lake. This area was previously potected as an Old-Growth Management Area but was later privatized for the Ditidaht First Nation as part of the their ITA and who have now logged much of the old-growth along the lake. The area is home to some of the very biggest ancient cedars and amazing CMTs - where they still remain.",TJ Watt,,,,,1
western redcedar*,525,Cheewhat Cedar 4,,,4.16,,2019,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.690397,-124.745782,,Bushwhack in off of Rosander Main or from the trail to the Cheewhat Giant.,A behemoth of a cedar. Splits into two trunks halfway up. This lake grows the most amazing trees!,TJ Watt,,,,,1
western redcedar*,526,Triceratops Cedar,,43,4.46,,2019,2020,Cheewhat Lake,Lake Cowichan,Parks/reserves,Pacific Rim NP,48.689937,-124.746145,,Bushwhack in off of Rosander Main or from the trail to the Cheewhat Giant.,Trunk splits into another enormous arm part ways up and bark has incredible swirling patterns on it. Big hemlock roots growing off the side. Grows in a beautiful deer fern glade with a number of other massive cedars around it. One of the most beautiful spots around the lake.,TJ Watt,,,,,1
western redcedar*,527,,,,2.52,,2019,2020,Nahmint Lake,Port Alberni,Provincial land,BCTS,49.19044,-125.09718,,"Take Nahmint Main to View Main and bushwhack downslope, across creek, and up the hill.",A nice cedar on the slope. GPS coordinates may be slightly off.,TJ Watt,Mike Stini,,,,1
western redcedar*,529,Nahmint Giant,690,38.4,4.47,12.5,2018,2020,Nahmint Lake,Port Alberni,Provincial land,BCTS,49.191493,-125.10457,,Take Nahmint Main to Riverside Main to View Main and then first spur on left. Tree is in strip of forest to left between the spur and the creek.,A monumental redcedar growing in the Nahmint Valley. Recent logging has enchroached on the tree. Other giants may exist on adjacent hillsides.,TJ Watt,Andrea Inness,,,Matthew Beatty,1
coastal Douglas-fir,530,Double Hug Doug,543,65.5,2.56,13.4,2018,2020,Nahmint Lake,Port Alberni,Provincial land,BCTS,49.177707,-125.064077,,A short bushwhack off of Riverside Main in the Nahmint Valley.,A giant Douglas-fir that really deserves two hugs! Lots of a little burls on the trunk. Truly impressive tree.,TJ Watt,Andrea Inness,,,Matthew Beatty,1
coastal Douglas-fir,531,Edinburgh Fir #1,,,3.28,,2018,2020,Edinburgh Mountain,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.630917,-124.41847,,Take Gordon River Mainline to Edinburgh Main and drive nearly to the end. A spur road goes up hill and on the left where recent logging took place. This fir is in a small leave strip adjacent to cutblock. ,A enormous Douglas-fir tree now growing on the edge of a cutblock. Windthrow has taken away from the asthetic of the area. Still an impressive sight to see. Remains unprotected.,TJ Watt,,,,,1
coastal Douglas-fir,532,Edinburgh Fir #2,,,3.04,,2018,2020,Edinburgh Mountain,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.630838,-124.417508,,Take Gordon River Mainline to Edinburgh Main and drive nearly to the end. A spur road goes up hill and on the left where recent logging took place. This fir is on the right hand edge of a small leave strip adjacent to cutblock. ,A gigantic Douglas-fir growing on the edge of a cutblock among smaller hemlock trees.,TJ Watt,,,,,1
western redcedar*,533,Castle Giant,,,4.91,,2017,2020,Walbran Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.657693,-124.582512,,"Drive to the unprotected Central Walbran Valley. From there, follow signage and trails to the Castle Grove and the Castle Giant Tree.",One of the most famous and reconizable cedars in the Walbran Valley. An absolutely giant. Used to be home to a canopy research station as well.,Ancient Forest Alliance,,,,TJ Watt,1
western redcedar*,534,,702,50,4.26,13,2017,2020,Walbran Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.65728,-124.585563,,"Drive to the unprotected Central Walbran Valley. From there, follow signage and trails to the Castle Grove and the Castle Giant Tree. Tree is hidden just off trail on the left about 3/4 the way through. Access is discouraged at this time.",A massive cedar wall looms in front of you as you approach this giant found by trail worker volunteers in recent times. Amazing tree!,Ancient Forest Alliance,,,,TJ Watt,1
coastal Douglas-fir,535,Gordon Fir,,50.3,2.17,,2019,2020,Gordon River Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.62564,-124.43335,,A short bushwhack off Gordon Mainline a few minutes past Avatar Grove down towards the river.,A nice looking straight Douglas-fir with a broken top. Had a mountain bike ramp constructed beside it in the past as well.,TJ Watt,,,,,1
western redcedar*,536,Slopetop Cedar,,,3.45,,2019,2020,Gordon River Valley,Port Renfrew,Tree Farm Lic.,Teal-Jones,48.628025,-124.436747,,A bushwhack off Gordon Mainline a few minutes past Avatar Grove and down towards the river. Starts in second growth then enters into beautiful old-growth on a flat bench overlooking another bench.,This huge cedar grows right on the edge of a flat bench overlooking another bench below. A truly impressive spot to just stop and take it all in. A second giant cedar grows just a short distance away downslope. This area is unprotected and may be logged at any time.,TJ Watt,,,,,1
coastal Douglas-fir,537,San Juan Fir #1,,,2.22,,2019,2020,San Juan River,Port Renfrew,Woodlot Lic.,Teal-Jones,hidden,,,,,TJ Watt,,,,,1
coastal Douglas-fir,538,San Juan Fir #2,,,2.04,,2019,2020,San Juan River,Port Renfrew,Woodlot Lic.,Teal-Jones,hidden,,,,,TJ Watt,,,,,1
Sitka spruce,539,San Jan Spruce #4,,,2.23,,2019,2020,San Juan River,Port Renfrew,Woodlot Lic.,Teal-Jones,hidden,,,,A nice spruce growing near the banks of the river.,TJ Watt,,,,,1
western redcedar*,540,Oh My Darling!,,,4.21,,2020,2020,Darling River,Bamfield,Tree Farm Lic.,WFP,48.737148,-125.04506,,A challenging bushwhack off spur road DR 400 access via Darling Main in the Klanawa Valley region.,A gigantic redcedar that really does impress. A key hole lets light through at the right time of day. You might just find yourself saying 'Oh my Darling!',Ian Campbell,TJ Watt,,,,1
western redcedar*,541,Banded Giant,,,3.3,,2020,2020,Darling River,Bamfield,Tree Farm Lic.,WFP,48.736932,-125.039738,,A challenging bushwhack off spur road DR 400 access via Darling Main in the Klanawa Valley region.,A huge redcedar wrapped in nylon bands in preperation for falling.,Ian Campbell,TJ Watt,,,,1
Sitka spruce,542,,652,47.5,3.85,25,2020,2020,Caycuse River,Lake Cowichan,Private land,,48.797757,-124.666683,,"Drive from Lake Cowichan to Nitinat Lake and then towards Carmanah Valley. Cross the bridge over the Caycuse River and head up hill. Keep your eye open for a big spruce sticking out above the surrounding trees on the right hand side of the road. Park here, check out that spruce, then carry on downhill and into the flats to find the tree.",Has broken top. Grows on the edge of a creek bank. Nice maples around as well and lots of elk sign. A second big spruce is just beyond through the woods.,TJ Watt,,,,,1
interior Douglas-fir,543,,300,31.1,1.5,15.8,2016,2020,Lundbom Lake,Merritt,Parks/reserves,Lundbom Comm. GR.,50.09833,-120.5919,,"Lundbom Rd., off of highway 97C, east of Merritt.",,Shaun Muc,,,,Shaun Muc,1
Ponderosa pine,544,,341,45.9,1.45,14.7,2020,2020,Three Blind Mice,Naramata,Provincial land,Okanagan Forest,49.567838,-119.544699,855,"he Three Blind Mice trail network can be accessed by driving from Penticton north along Naramata Road.  Turn right (about 6 to 7 km from downtown Penticton) onto Riddle Road and drive to the top of the road where roadside parking is available.  The walk or ride to the tree is about 5 to 5.5 km one way.  Enter the attached URL into your browser to access the trail map:  look for the intersection of Pinecone and Ponderosa trails, located near the middle of the trail network.  https://www.trailforks.com/region/three-blind-mice/map/?activitytype=1&z=12.0&lat=49.56396&lon=-119.55505","The tree is located at the base of a moderate west facing slope in a relatively flat area.  The tree is in good health and does not appear to have a broken top.  A good view of the top of the tree is difficult due to the surrounding Ponderosa pine and Douglas-fir trees, which partially block the view. The area is used by mountain bike and hiking enthusiasts.  In general, the area is characterized by steep rocky bluffs and flat benches.  The larger trees tend to grow on the benches or in ravines where moisture is more plentiful.  The area is used by whitetail deer, elk, black bear and coyote, as well as numerous species of birds.",Paul Commandeur,,,,Paul Commandeur,1
coastal Douglas-fir,545,Chek Narrows Giant,442,48.1,2.23,12.8,2020,2020,Chek Canyon Rec. Site,Squamish,Provincial land,,49.90271,-123.1541,430,"From Squamish (junction of Cleveland avenue and Highway 99) drive 24.5 km north on Highway 99 to the Conroy Creek FSR
entrance.
- Drive about 500m up the FSR to a large parking area and campground. This is the Chek Canyon rec site.
- A climbers' access trail leads horizontally south from here. Hike this trail for about 5 mnutes until its end at a cluster of very
large talus boulders under steep cliffs equipped for rock climbing.
- continue bushwhacking south for about 600m along the base of the canyon. Progress is difficult because of numerous fallen
trees, the creek and talus/ scree slopes.","Visibility of crown is limited. But top is dead (at least several meters in height) and broken. Top is >40cm where broken.  The tree is located on flattish ground next to a small creek in the base of a deep canyon. The tree is the
largest so far discovered in an area of undisturbed old growth which is approximately 700m long and extends for several
hundred metres up both side of the canyon. In the area there are approximately one hundred firs of one meter diameter or
bigger and at least five trees around two meter diameter. I believe the area has never been logged due to very large talus
boulders and other physical barriers created by the canyon topography.",Toby Foord-Kelcey,,,,Ira Sutherland,1
interior Douglas-fir,546,,367,42.4,1.77,10.9,2020,2020,Slim Creek,McBride,Provincial land,,53.784889,-121.173401,676,"1. Drive to Dome Creek Road (approximately 90km west of McBride).  Travel north on this road for approximately 900m. 2. Turn west on a gravel road.  This road is rough in places and a 4WD high-clearance vehicle is recommended. 3. As of 2020, the road was passable to approximately 7km.  4. Hike remainder of road to tree's location (located on the north side of old cutblock).",Tree is alive and appears to be healthy.  No forest health conditions noted.  Tree is growing on south aspect slope with 20% grade.  The stand has evidence of old selective harvesting. ,Hardy Griesbauer,,,,Hardy Griesbauer,1
coastal Douglas-fir,547,Bumblebee,621,66.8,3.12,19.1,2020,2020,"E. Fork, Klanawa",Youbou,Tree Farm Lic.,44,48.80181,-124.82668,100,"From the small town of Youbou, on the Eastern end of Lake Cowichan, head Westward on the North Shore Road,
continuing all the way past the lake on Cowichan Main and eventually following the Nitinat River.
Turn right at T-Intersection ( 48.8627379, -124.6438995 ) over the bridge which crosses Nitinat River, following
Carmanah Main. A visit to the waterfalls on the Little Nitinat Falls is recommended for a quick break (unmarked pull
off near 48.871476, -124.687404 ).
Follow Carmanah Main until a bridge on your left crosses the Little Nitinat River onto Flora Main ( 48.8994754,
-124.6887141 ).
Follow Flora until you reach Upper Klanawa Main ( 48.861963, -124.739748 ) and turn left.
Not long after passing Newstead Main (do not take this road), the road starts climbing and splits. Take the left spur
K-265, up a steep pitch and around a tight bend ( 48.8267934, -124.7812745 ). After some time, along the South side
of K-265 there are a couple of small lakes accessed via a short spur (approx 48.8274633, -1248130282 ), where one
can visit the Fairy Bell Cedar at Dorothy Lake (at the head of the second lake, 48.825688, -124.822826 ).
Coming to another T-Intersection ( 48.8307925, -124.8372049 ), turn left and continue straight past another
intersection and follow it until you reach the spruce flats and recently logged areas at the bottom of the valley (approx
48.7969942, -124.8668236 ). This is where the Main and East Forks of the Klanawa River meet. This new road
bends East and becomes very coarse. It is advised that one parks in a safe location and walks to the Bumblebee
Tree from the road (starting at 48.801119, -124.832387 ).
*Alternatively the Hummingbird and adjacent forest stands can be reached by crossing one of the numerous log-jams
on the Klanawa River East Fork. Park on Newstead Main , and find a log-jam that you can cross safely ( 48.799488,
-124.817626 ) or ( 48.802287, -124.808875 ) for example. Be sensible, do not attempt when the river is flowing high,
and no I am not responsible if your shoe soles are slippery and your iphone goes for a swim ;) Keep your electronics
safe in a ziplock or wet bag. Personally, we prefer using Newstead Main, the road is in better condition and it is a
more straightforward route.
Please be advised that this is an ACTIVE logging area, follow suitably safe driving techniques and be vigilant and
courteous to other road users. It is advised to only visit this area on weekends when logging activities are minimal.
This is a remote area without cellular reception so plan your trip accordingly. Input your coordinates before you leave
home. In general the gravel road driving is reasonable for most vehicles, but fill your tank and definitely bring a full
sized spare tire along for this trip.","-The top of the Crown is bare and the canopy has classic spiralling form
-On the uphill side of the tree the trunk has large columnar veins and a distinctive scar bare of bark
(Approx. AM525 x 0.75m)
-The features mentioned above, combined with the texture of the bark and its large stature make
it appear that Bumblebee is quite advanced in age
-Bumblebee stands at Lower Slope position, at the edge of cut-block along a small and steep drainage
populated by Western Red cedar
-Although currently this area has been and is still being aggressively logged, numerous
fine and large specimens of Sitka spruce, Western Red cedar and even occasional
Douglas fir still stand in the Klanawa River Valley System. The Bumblebee Tree stands on a cutblock
above the Hummingbird Spruce Grove. For more detailed information about the trees of this region visit
the Vancouver Island Prominent Tree Survey, a project hosted by the coastaltrailcollective.com",Eric Walton,Will O’Connell,Owen Enright,Alex Smith,Eric Walton,1
western redcedar*,548,Fairy Bell,852,54.8,5.32,17.5,2020,2020,"Dorothy Lake, Klanawa",Youbou,Tree Farm Lic.,44,48.825688,-124.822862,150,"From the small town of Youbou, on the Eastern end of Lake Cowichan, head Westward on the North Shore Road,
continuing all the way past the lake on Cowichan Main and eventually following the Nitinat River.
Turn right at T-Intersection ( 48.8627379, -124.6438995 ) over the bridge which crosses Nitinat River, following
Carmanah Main. A visit to the waterfalls on the Little Nitinat Falls is recommended for a quick break (unmarked pull
off near 48.871476, -124.687404 ).
Follow Carmanah Main until a bridge on your left crosses the Little Nitinat River onto Flora Main ( 48.8994754,
-124.6887141 ).
Follow Flora until you reach Upper Klanawa Main ( 48.861963, -124.739748 ) and turn left.
Not long after passing Newstead Main (do not take this road), the road starts climbing and splits.
Take the left spur K-265, up a steep pitch and around a tight bend ( 48.8267934, -124.7812745 ).
After some time, along the South side of K-265 there are a couple of small lakes accessed via a short spur (approx
48.8274633, -1248130282 ), this is where you can access the Fairy Bell Cedar at Dorothy Lake (at the head of the
more westward lake, 48.825688, -124.822826 ).
Please be advised that this is an ACTIVE logging area, follow suitably safe driving techniques and be vigilant and
courteous to other road users. It is advised to only visit this area on weekends when logging activities are minimal.
This is a remote area without cellular reception so plan your trip accordingly. Input your coordinates before you leave
home. In general the gravel road driving is reasonable for most vehicles, but fill your tank and definitely bring a full
sized spare tire along for this trip.","- The Fairy Bell Cedar appears healthy, shows typical conical form and has two main leaders which are bare
at the tip and a smaller third leader.
-The Tree is located on a flat drainage area which flows to the head of nearby Dorothy Lake, at the edge of
a recent Cutblock between this and another small lake. These lakes drain into the Klanawa River,
1 km to the west. A fine old Sitka spruce tree stands about 50m to the South West of Fairy Bell.
-Although currently this area has been and is still being aggressively logged, numerous fine and large
specimens of Sitka spruce, Western Red cedar and even occasional Douglas fir still stand in the Klanawa
River Valley System. For more detailed information about the trees of this region visit the Vancouver Island
Prominent Tree Survey, a project hosted by the coastaltrailcollective.com",Eric Walton,Will O’Connell,,,Eric Walton,1
coastal Douglas-fir,551,3PP,612,68,3.03,18,2020,2020,Nitinat R. - Macoola,Youbou,Tree Farm Lic.,44,48.879819,-124.590399,28,"From the small town of Youbou, head Westward on the North Shore Road, following along the shore of Cowichan
Lake. Arrive at a signposted split between Bamfield and Nitinat and head left towards Nitinat. Driving past the head
of the Lake, you eventually enter the Nitinat River Valley. At the entrance of Nitinat River Ecological Preserve
(Eastern Portion 48.901189, -124.545689 ) you will encounter old-growth Douglas fir forest and some roadside
CMT’s. Have a look at the impressive Nitinat Fir (just below the road, 48.893787, -124.556285 ).
It is also worth checking out the canyon section of the Nitinat river ( 48.895723, -124.558131 ).
A couple of hundred meters past the turnoff for Granite Main, find a safe place to park. On foot, follow an old spur on
the north side of the road ( 48.876268, -124.587473 ) briefly. When the spur becomes overgrown, head left
( 48.878611, -124.585422 ) through the bush. Heading slightly downhill, start contouring to your right along the hillside
until you encounter an impressive stand of Fir and Hemlock on the slope above the river. Here you will encounter the
Cauliflower Mushroom Fir. Follow the lower slope around a corner (northward and upstream) for 50m or so, staying
above the dense brush along the river edge. Once you can easily cross onto the river flats, find your way to the river
edge and safely fjord across the river, just above the bend. You should be able to see a large spruce and you may be
able to see 3PP’s double leaders a little further back from the shore. The tree is located on the flats about 60m from
shore amongst sword ferns.
Please be advised that this is an ACTIVE logging area, follow suitably safe driving techniques and be vigilant and
courteous to other road users. It is advised to only visit this area on weekends when logging activities are minimal.
This is a remote region without cellular reception so plan your trip accordingly. Input your coordinates before you
leave home. In general the gravel road driving is reasonable for most vehicles, but fill your tank and definitely bring a
full sized spare tire along for this trip. There are some basic amenities available in the Village of Nitinat. Only cross
the river when the flow is low, it is recommended to have your electronics in watertight bags and please be careful.","Gradually tapering and with a distinctive burl, the trunk splits into two healthy looking upward facing
leaders at approximately the 40m mark.
Located on a flat and sandy riparian floodplain, 3PP is a fine Douglas fir standing amidst Bigleaf
Maple, Hemlock and Sitka spruce about 60m from the bank of the Nitinat River.
This floodplain is part of a series of high quality, intact riverside patches of old growth standing
between the Eastern and Western portions of the Nitinat River Ecological Reserves. Sitka Spruce begin to
Reach full potential in the floodplains and Douglas fir become less abundant at river level. Here and across
the river in Macoola Grove, one will find the Red Listed Tooth- leaved Monkey flowers and Blue Listed
Scouler’s corydalis carpeting the floor during the late spring and summer.
For more detailed information about the trees of the Central Nitinat River and the Macoola Grove region
visit the Vancouver Island Prominent Tree Survey, a project hosted by the coastaltrailcollective.com",Eric Walton,Will O’Connell,Mette Kurtzhals,,Eric Walton,1
vine maple,552,,80,12.8,0.26,6.8,2020,2020,Mundy Park,Coquitlam,Parks/reserves,Municipal Park,49.26194,-122.82881,,Follow the Perimeter Trail and the tree is next to a rotting Fir stump at the the northwest corner of the park. There is an entrance off of Como Lake.,"This Vine Maple is in very healthy condition and it leans over the trail. The height is to the tallest branch growing up. The tree itself may be longer than this but in many cases, it grows every where. It would be nice to have a tag on it or at least have the municipal government recognize the tree. Especially since many Vine Maples have bent to the recent snow storm and will be removed. ",Shaun Muc,,,,Shaun Muc,1
western white pine^,553,,354,48,1.51,12,2020,2020,100 Acre Wood,Rossland,Tree Farm Lic.,Atco Forest Products,49.178334,-117.85305,1480,"The trail access turn-off from Highway #3B is 13.8 km. towards Nancy Greene / Strawberry Summit from the Rossland, Washington Street / Highway junction. A post mounted solar panel on your right is your indicator to begin slowing down, where the Murphy Creek FSR is next on your right. A large timber frame sign, lets you know you are in the right location. Following the road a short distance, take the right turn at the fork where after about 500 m. through a recent approx. 20 year old cutblock, is the trailhead parking area.","Very healthy looking tree, with evidence of a strong cone crop being dispersed around the trees base. No signs of dead/blister rust affected trees in the vicinity. This small reserve is basically surrounded by logging blocks.",Terry Nelson,,,,,1
Pacific yew^,554,,166,22,0.67,12,2020,2020,Box Lake,Nakusp,Provincial land,WFP,hidden,,660,,"This small enclave of Pacific yew appears to have a shallow sub-surface groundwater regime throughout. The forest floor was dotted with oak fern and some twisted stalk, but otherwise quite devoid of vegetation. Some smaller diameter western redcedar and Englemann spruce were the primary species in this location. Based on ring count of an adjacent, recently cut 0.15 m. radius stump (solid to the core), the age of the nominated tree is estimated at 257 years old.",Terry Nelson,,,,,1
western larch,555,Gramps,377,54,1.52,14,2020,2020,Snakebite Trail,Fernie,Provincial land,Fernie Alpine Resort,49.47777,-115.117222,1270,"To locate this site on the Lizard Range, drive right on through the campsite on Mount Fernie Park Road, until you reach a trailhead kiosk on the left, where an obvious aluminum bridge crosses Lizard Creek. Immediately after exiting from the bridge turn left onto the signed “Gorby Trail”. This is actually an old road that leads up into the lower basin of Cedar Bowl. Upon arrival in the big basin, take the road to right, Red Tree Road, and follow it for about 500 m. where the Snakebite Trail ushers you into the forest on your right.","Many fire survived veteran Western Larch spire up from the Western Red Cedar forest on the lower slopes of the Lizard Range. The difficulty field locating them, in the absence of a trail, is the thick alder, buckbrush, and devil's club choked underbrush that presents the challenge. The larch tree sampled was right beside the Snakebite Mountain Bike Trail, so can be located a bit more easily.
This stand of trees appears very healthy, likely, with todays fire suppression prioratization in proximity to an urban area, could live another 500 years? Age estimate from annular ring count of a ""cookie"" of a similar diameter tree in close proximity is 425 years.",Terry Nelson,,,,,1
paper birch^,556,Silverton Birch,290,26,1.47,28,2020,2020,Silverton,Fernie,Private land,,49.595138,-117.359444,530,"Private land - please respect private property and view from a distance.  Tree is at 314 Hunter Street, Silverton.","Urban tree, unknown whether it was planted or perhaps preserved from native site clearing when the property was developed.",Terry Nelson,,,,,1
paper birch^,557,Army Birch,219,22.3,1.04,21.8,2020,2020,Mount Proctor,Fernie,Provincial land,,49.530555,-115.063888,1110,"The path to the tree can be found by starting at the Visitor Information Centre trailhead, and by following the Mt. Proctor Trails signage. The trail signage now directs you away from this area, however once you come out into the meadow opening, go up the hill towards the cow fence that is visible above. When you cross through the turnstile in the barb wire fence turn right, where the old trail passes through above the meadow area, and then comes to a 3 way junction, where you will take the left arm. As the trail has been recently re-routed, it does not see as much traffic, and will quickly become overgrown, so keep your senses heightened. Not too far up from the junction,  the “Big Birch” holds its place of reverence right beside the trail.",,Terry Nelson,,,,,1
subalpine fir^,558,Stumble On,243,31.4,1.03,14.2,2020,2020,Olivia Creek Trail,Fernie,Provincial land,,49.58777,-115.085,1670,"The Olivia Creek Trail can be accessed by travelling up the Hartley Lake Rd. from Dicken Road. Hartley Lake Road is a narrow winding dirt road, but is passable under most conditions with a 2WD vehicle. Once you have passed the lake, below to the left, you are at the Hartley/Sulphur Creek Pass. Olivia Creek access is the second old road to the left, just before the road begins descending towards the Bull River. The old road can be quite overgrown, and will have large puddles to navigate around. This 4 km. road section can be driven in a 4WD if you are not worried about your paint job, and want to earn some more “Kootenay Pinstripes”. If you get lured into driving up this road, there are no good turn arounds until it can be too late. Using a bike, or hiking is recommended to get to the old sawdust pile, from where 1 km. further, on a less friendly road, connects you to the trailhead. ","The tree is a bit inconspicuous as a subalpine fir, as most of the surrounding trees are large Englemann spruce. The bark on this old tree was not easily distinguishable as a subalpine fir, but the branches swept right down close to the ground, allowing for tree species identification. Located on edge of an avalanche meadow, where a profusion of alpine flowers were in bloom, including: Sitka valerian, Forget-Me-Nots, stinging nettle, blue elderberry, clasping twisted stalk, yellow columbine, and silky phacelia. 
An adjacent 1.54 m. DBH Englemann Spruce was aged at 502 years old.",Terry Nelson,,,,,1
interior Douglas-fir,559,Dougy Jeffy,407,49.5,1.87,15.6,2020,2020,Elk R. / Morrissey Cr.,Fernie,Parks/reserves,Nature Conservancy of CA,49.359444,-115.003611,960,"Mt Broadwood Hertitage Conservancy.  If interested in visiting this site, drive on Highway #3,  16 km. west from Fernie, and turn left onto the Morrissey Road. The road crosses over the Elk River, then the CPR tracks, where you take the road to the right. Stay on the main road (River Road) where you will come to the Morrissey Creek bridge. Just before the bridge, a road to the right (the TransCanada Great Trail) leads down towards the Elk River. Stay to the left all the way down the road,  as there are many rights, until you reach a yellow gate at the CPR tracks. Park here and walk down the tracks a short distance to your right (north), where you will come into a large opening that is the hydro transmission powerline right of way. To your left, towards the Elk River, and through a cattle gate (close after passing through), you will begin to notice enormous cedar stumps, and dark forests lining either side of the right of way clearing. The “Jeffy Dougy” fir is located in the forest on the left. If you follow a small drainage channel upstream, keeping your eyes up, the top of this gnarly “flowertop” tree can be seen above the canopy.","Tree is the lone interior Douglas-fir observed in this small protected stand of western redcedar, hemlock, black cottonwood, and Englemann spruce. Definitely predates the surrounding trees. Located on the Elk River floodplain. ",Terry Nelson,,,,Jeff Hamilton,1
western redcedar^,560,Twin Trunk,572,32,3.78,12,2019,2020,Kokanee Cr. OG Trail,Nelson,Parks/reserves,Kokanee Cr. PP,49.66874,-117.13672,1089,"The Kokanee Creek Old Growth Trail is found by following the Kokanee Glacier access road off of Highway #3A for 12 km. on a 2 wd suitable gravel road that climbs steeply up the drainage. B.C. Recreation Sites and Trails has a well positioned sign on the highway directing you to this preserve. The trailhead is well signed, and a few pullouts are available for parking.",The Old Growth forest occupying the flanks of Kokanee Creek appears to be thriving in this wet belt environment. Only threat is perhaps over visitation. Evidence of past logging and mining activity have fortunately not compromised this otherwise sensitive site.,Terry Nelson,,,,,1
whitebark pine^,561,,198,24.4,0.85,16,2020,2020,Sparwood,Barnes Lake,Tree Farm Lic.,Canfor,49.445055,-114.702778,1900,"The site can be accessed by driving east on Highway #3 from the Highway #43 traffic lights in Sparwood for 11km. to the Coal Mountain /Michel Creek Road. This paved road continues for 22.6 km. to the Coal Mountain mine gate, where the Flathead FSR to the right leads to the next right turn-off at 4.4 km.. A new logging road and bridge have been built crossing Michel Creek, where you can either begin walking here, or continue on a very rough road for 800 m. to the trailhead. The unmarked old road on the west side of the landing is your route. After hiking for 2.5 km. you will come to an intersection. The left trail/road leads to Barnes Lake, while the right road climbs steeply up to Elliot Lake. If heading to Barnes Lake the trail continues for an additional 1.3 km. following along a beautiful alpine meadow, to where you will arrive at the south campsite.
The Whitebark Pine that was sampled, is located just beside the campsite.",Many dead standing whitebark pines in this vicinity. Likely blister rust casualties. The remaining live trees appear to be somewhat healthy. Cores from tree were solid to the center. Trees estimated age is 350 years old. +/- 50 yrs.,Terry Nelson,,,,Alex Daignault,1
arbutus,562,,362,21.2,2.2,25.8,2020,2020,East Saanich Road,Saanichton,Municipal/city,,48.60853,-123.42113,,Right off footpath that runs parallel to East Saanich Road. Easily accessible.,"Height to dead top 26.2, height to live top 21.2",Simon Lightbody,,,,Roemer/McIlvaney,1
western larch,563,Moe's #1,352,54.5,1.34,9,2019,2021,Moe's Canyon Trail,Kimberley,Provincial land,Kimberly Nordic Area,49.666898,-116.011939,1350,"Drive up Gerry Sorensen Way, past Kimberley Alpine Resort and continue until the road becomes North Star Drive. The Nordic Club is at the end of North Star Drive.  Take any of the fun trails around to the south end of the Centennial loop to Iker's landing.  Then take Landsem south.  About half way along Landsem look for a smaller trail marked Moe's Canyon/Magic Line.  Follow this steep up to the top.  You are now looking north at the old growth larch patch.  Magic line cuts right, to the east of the patch and Moe's Canyon Trail goes north through the patch past the Mussers Plateau Trail junction and continues north into Moe's Canyon.  Moe's #1 is just east of the trail, about 60m north of the Magic line junction.  This and the other tallest trees in Moes are also visible from the south end of Larch Loop Trail.  ","This tree is in a one ha patch of old growth of western larch/Douglas-fir/spruce growing in a flat area right at the south end of Moe's Canyon.  Logging occured in 2006 to the south and east of this patch and elsewhere within the Kimberley Nordic Trails area.  The patch contains at least 13 large trees over 100 cm DBH and eight of these trees are over 50m in height.  All the largest trees are western larch but there are two Douglas-fir trees scoring over 300 points.  This is the highest ranking tree found based on height, circumference and crown size.   The smaller mature western larch trees at the periphery of this area are well over 400 years old so this tree could be in the 600 - 800 yr range.",Dave Hale,,,,Henning Barth,1
