common_name,tree_registry_id,tree_nickname,tree_score,height_(m),DBH_(m),crown_spread_(m),last _measured,year_nominated,location,nearest_town,ownership,ownership_details,latitude,longitude,elevation_m,access_notes,tree_site_notes,Principle nominator,Co-nominator 1,Co-nominator 2,Co-nominator 3,Verifier,tree_type,has_photo,all photo formula
western larch,1039,,340,52.5,1.28,12,2021,2021,Gilnockie Creek,Grasmere,Parks/reserves,Gilnockie Ecological Res.,49.006667,-115.654444,990,"Gilnockie Provincial Park and Ecological Reserve are a long ways from anywhere. Located close to the US border between Grasmere and Yahk, this 100 km section of wilderness (minus all the logging blocks) is accessed from Caven Creek FSR, Bloom Creek FSR, and Ward Creek FSR. Gilnockie Creek is best accessed by driving 2.3 km west of the Yahk River bridge, and then bushwhacking down to the creek along the edge of a clearcut. Many superb larch specimens reside along the creek.",Not often a grouping of veteran western larches is encountered. This assembly of massive trees residing on a bench above Gilnockie Creek supports quite a display of greatness. The larch is an amazing 517 years old.,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1039_Lw_Gilnockie_TN_1.jpg"" target=""_blank"">1</a>            "
western white pine^,1040,,330,46,1.34,16,2021,2021,Kimbol Lake Trail,Nakusp,Provincial land,,50.298056,-117.672778,880,"Follow the signage from Nakusp to the Kuskanax Creek Hot Springs. From the parking lot a well signed trail to the creek and then a left at the wye to Kimbol Lake . Climbing up past the old hot springs source to a rest bench, the western white pine is on the slope down towards the creek, and visible from the bench.","Western white pines, with their towering trunks, special elongated cones, and soft needles, I would describe as a friendly tree. This particular tree is no different. Special in every way.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1040_Pw_Kimbol_TN_1.jpg"" target=""_blank"">1</a>            "
western white pine^,1041,,285,36.3,1.29,8,2021,2021,Larch Hills Nordic Centre,Canoe,Provincial land,Community Forest,50.746111,-119.148889,1210,"Larch Hills Nordic area is accessed from the Grandview Bench Road, and then follow signage up gravel roads for 8 km to the day lodge. A further 5 km up the Larch Hills FSR, and you will come to the White Pine Walk. A nice loop through some boggy ground with a great selection of big trees to ogle over. The big western white pine is a short distance in on this trail.","When you see a western white pine of this magnitude it goes off the Richter scale. Towering straight up into the forest canopy, this tree is winning the reach for the light game.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1041_Pw_LarchHills_TN_1.jpg"" target=""_blank"">1</a>            "
western hemlock^,1042,,297,40,1.26,12,2021,2021,Ka Papa Cedars Trail,Creston,Tree Farm Lic.,,49.092778,-116.964444,1330,"From Highway 3 when travelling west from Creston, and right before the yellow avalanche closure gate is a large pull-out parking area on your left, where some unobtrusive trail signs are attached to the trees. Situated quite high up on the trees so as to not disappear as the snow pack gets deeper. A trail heads down to where it crosses Summit Creek, and then a loop configuration allows you to chose your direction on the 1.3 km route. I like to walk it both ways, as new delights are revealed every time.","Western hemlocks of this enormity are not that common, generally succumbing to old age, rot, blowdown, or casual chainsaw death. The sheltered high elevation environment seems well suited for this big tree. This is the biggest tree found in this grove, but there are likely some larger ones to be found if getting off trail is your thing.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1042_Hw_KaPapa_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1043,The Big Tree,816,47,5.22,19.5,2021,2021,Ancient Forest,Dome Creek,Parks/reserves,Ancient Forests PP,53.761667,-121.225278,900,A long drive on Highway 16 from McBride or PG will land you at the Ancient Forest PP parking lot. The big trees line the 3.4 km boardwalk.,"Estimated to be 1800 years old, “The Big Tree” as the name suggests is just that. One of, if not the chubbiest cedars in B.C.’s Interior.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1043_Cw_AncientForest_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1044,Treebeard,622,44.3,3.75,16,2021,2021,Ancient Forest,Dome Creek,Parks/reserves,Ancient Forests PP,53.7625,-121.222778,850,A long drive on Highway 16 from McBride or PG will land you at the Ancient Forest PP parking lot. The big trees line the 3.4 km boardwalk.,"Treebeard, from the famed Tolkien Ents, has long pendulous branches reaching almost to the forest floor. Seemingly looking to get another anchor onto the ground.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1044_Cw_AncientForest_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1045,Radies Tree,594,46,3.5,12.8,2021,2021,Ancient Forest,Dome Creek,Parks/reserves,Ancient Forests PP,53.759444,-121.219722,880,A long drive on Highway 16 from McBride or PG will land you at the Ancient Forest PP parking lot. The big trees line the 3.4 km boardwalk.,"The Radius Tree has been heavily trafficked, and now has a protective fence around it to protect its roots. The buttressed base of this tree is amazing.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1045_Cw_AncientForest_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1046,,585,43,3.5,14,2021,2021,Ancient Forest,Dome Creek,Parks/reserves,Ancient Forests PP,53.761667,-121.225278,900,A long drive on Highway 16 from McBride or PG will land you at the Ancient Forest PP parking lot. The big trees line the 3.4 km boardwalk.,"This tree is located a little way off of the boardwalk. Its stout columnar trunk stood out in the jungle of devil’s club, and lured me humbly over to take its measurements.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1046_Cw_AncientForest_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1047,Triple Trunk,561,30.7,3.6,18,2021,2021,Cedar Grove Trail,Nakusp,Tree Farm Lic.,,50.304444,-117.6375,1020,"The turn off to the Cedar Grove Trail is 10 km from Highway 23.  A well signed forestry road to the left is followed for 5.5 km to the trailhead. The gravel road is quite rough and rocky, but is navigable with a 2 wheel drive vehicle. On the way up, there is a wye that is un-signed, so attention should be paid here to get where you want to go. The right branch is your direction.
","This triple trunked cedar is a very solid looking tree. With black gooseberry trailing around at its base, it seemed well accompanied to put on a few more years growth.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1047_Cw_Nakusp_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1048,,572,44.2,3.36,14,2021,2021,Staubert Lake Cedars,Trout Lake,Private land,,50.686944,-117.659444,790,"The Staubert Lake Cedars are tucked away beside the Trout Lake highway, and are easily accessed. A stylish wood  carved sign alerts you to the trailhead, where a small pull-out beside the road provides parking for a few vehicles.
","This is the first tree encountered as you enter this enchanting grove. Spread out on the Beaton River /Poulman Creek floodplain, there are many spectacular trees, however the entry sentinel, with its own viewing chair is outstanding.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1048_Cw_StaubertLake_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1049,#29 Tree,536,44.4,3.05,16,2021,2021,Staubert Lake Cedars,Trout Lake,Private land,,50.686944,-117.6575,790,"The Staubert Lake Cedars are tucked away beside the Trout Lake highway, and are easily accessed. A stylish wood  carved sign alerts you to the trailhead, where a small pull-out beside the road provides parking for a few vehicles.
","The #29 tree is located near the old homestead, and has a 29 tag on it. I think this might indicate 29 ft in circumference before it put on a bit more girth?",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1049_Cw_Staubert29_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1050,Twin Trunk,493,35.4,2.94,16,2021,2021,Cabin Ridge Trail,Fernie,Private land,Island Lake Lodge,49.498333,-115.166389,1210,"The trail is accessed from the 2nd Island Lake parking lot in summer. Follow the Old Growth Trail to the Cabin Ridge junction (signed). Trail descends down to Lizard Creek, where a sometimes tenuous crossing is required. This big Cedar is just up the trail aways, but not right beside the trail.","A handsome twin trunk dominates this trees appearance. Whether it has inosculated, or just grew this way will never be known.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1050_Cw_CabinRidge_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1051,Grizzly Burl 800,,,2.75,12,2021,2021,Cabin Ridge Trail,Fernie,Private land,Island Lake Lodge,49.4975,-115.166389,1220,"The trail is accessed from the 2nd Island Lake parking lot in summer. Follow the Old Growth Trail to the Cabin Ridge junction (signed). Trail descends down to Lizard Creek, where a sometimes tenuous crossing is required. This big Cedar is just up the trail aways, but not right beside the trail.","Located right beside the trail, with a big burl overhanging you as you pass by, it is difficult to miss. The added Grizzly handle is because this game trail is the grizzly bears path when it traverses from Hunter Bowl to Cabin Bowl.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1051_Cw_CabinBurley_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1052,Corn Creek Cedar,513,46,2.85,12,2021,2021,Corn Creek,Creston,Parks/reserves,Creston Valley WMA,49.089444,-116.623333,550,"Easily accessible, this tree can be found by driving on West Creston Road, just off Highway 3. At approximately 4.7 km you will come to a bridge that crosses Corn Creek. A small pullout just before the bridge, is the parking spot.","Standing alone beside Corn Creek this tree is very visible, and the area around the tree has been heavily visited. A view from the other side of the creek is worthwhile.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1052_Cw_CornCreek_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1053,Magic Grove Cedar,480,34,2.84,20.5,2021,2021,Gorby Trail,Fernie,Provincial land,,49.478889,-115.113333,1210,"The Gorby Trail is accessed from Mount Fernie Park Road off of  Highway 3. Drive to parking lot past campground, trailhead with aluminum bridge crossing Lizard Creek. Follow signage to Magic Grove.","The “Magic Grove” has some of the finest cedars in the Fernie area. The big tree is joined by some other enormous beauties, all clustered together to make a sheltered setting.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1053_Cw_Gorby_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1054,,516,48,2.83,10.6,2021,2021,West Duncan FSR,Argenta,Tree Farm Lic.,,50.626389,-117.049722,560,"Drive north up the Duncan FSR to the top of the lake. Cross Duncan River bridge, and look for road to left. Gate is sometimes closed, but walking in a couple of km will land you in this great forest collection on both sides of the road. The further you go, the bigger the trees get.","Sampled tree was on the west side of the road, standing amongst some grizzly bear chewed skunk baggage, and thick alder.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1054_Cw_WestDuncan_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1055,Bigfoot,496,42,2.78,18,2021,2021,Cedar Valley,Fernie,Private land,Island Lake Lodge,49.502778,-115.168889,1370,The Island Lake lodge access road winds up through spectacular old-growth. Just find a place to park and explore.,"With its buttressed roots dipping into the small stream at its base, it has a big foot look. Tree has a 6m dead spire.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1055_Cw_BFT_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1056,Phillip’s Tree,493,42.6,2.76,15,2021,2021,Davis Creek ,Lardeau,Tree Farm Lic.,,50.158611,-116.864167,1230,"Davis Creek/Fishhook Lake trail is a steep hike, that starts at the Davis Creek Provincial Park campground in Lardeau. ",Located close to Fishhook Lake this is one of many very large cedars and hemlocks that line the trail.,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1056_Cw_DavisCreek_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1057,Cedar Sister,471,36.4,2.74,16,2021,2021,Eagle River,Malakwa,Parks/reserves,Eagle River Nature Park,50.902222,-118.8275,370,"Accessed from Highway 1 east of Sicamous, the Yard Creek P.P. Campground in Malakwa is well signed. The Eagle River Nature Park is located on the north side of the highway, and has a great little trail through some impressive forest.","The Cedar Sister is located in the 3rd grove along the trail, and is a beautiful tree. Nestled in amongst some other sisters, her bark shines, and her long limbs seep down for embraces.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1057_Cw_Malakwa_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1058,Triple Decker,464,36,2.7,15,2021,2021,Rail Trail,Fernie,Private land,Island Lake Lodge,49.495556,-115.135278,1089,The Rail Trail leads out from the Island Lake lodge 1st parking lot. Follow trail until it comes into a meadow area. The tree is located to your left towards Lizard Creek.,"The three upper trunks of this tree appear to have originated from one bole, creating its significant girth.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1058_Cw_Railtrail_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1059,,489,44,2.68,16,2021,2021,Goat River Canyon Trail,Dome Creek,Parks/reserves,West Twin PP,53.481389,-120.140833,840,"From Highway 16, a  high bridge crosses over the Goat River. A rest area on the west side of the bridge is the parking area. The rough trail is on the south side of the highway, and continues for 8 km following up the Goat River.",The further you go up the valley the bigger the tree keep getting.,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1059_Cw_GoatRiver_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1060,Marlene’s Tree,436,28.4,2.65,18,2021,2021,Duncan/Lardeau Flats,Meadow Creek,Parks/reserves,Nature Trust of BC,50.183611,-116.953611,550,"Tree is located in the Duncan/Lardeau Flats Conservation Area.  Where the Duncan and Lardeau River converge at the north end of Kootenay Lake the delta flats provide an important habitat for: well everything. Access is at a signed, small gated pull-out just to the south of Meadow Creek.","The long branches of this tree hide its magnificence. Due to the open space afforded, this tree has taken full advantage of its surroundings, or lack thereof.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1060_Cw_DuncanLardeau_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1061,Lichen It,433,28,2.64,18,2021,2021,Orca Road,Fernie,Private land,Island Lake Lodge,49.493611,-115.151944,1160,"Orca Road is an old skid trail that traverses at the base of the Lizard Range. A bridge crossing Lizard Creek, just upstream of the sawdust pile meadow in Cedar Valley is the trailhead.","Taking the time to grow lichen on your bark is a cooperative effort. This epiphyte and big cedar have done a good job, and the crop shows.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1061_Cw_Orca_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1062,The Whale,,,2.63,14,2021,2021,Orca Road,Fernie,Private land,Island Lake Lodge,49.495556,-115.144722,1140,"Orca Road is an old skid trail that traverses at the base of the Lizard Range. A bridge crossing Lizard Creek, just upstream of the sawdust pile meadow in Cedar Valley is the trailhead. This tree is located on the downside of the road about 750 m after crossing the creek.","The Whale is a massive beast. With its wall of wood confronting you in the dark ocean of this forest. It gets its name from the Orca Rock peak whose fin sticks out of the sea of powder above, and is visible on the many horizons of the Lizard Range.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1062_Cw_Whale_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1063,Ralph’s,401,22,2.58,12,2021,2021,KaPapa Cedars Trail,Creston,Tree Farm Lic.,,49.092778,-116.964444,1330,"From Highway 3, when travelling west from Creston over Kootenay Pass, a parking area on the left just before the avalanche road closure gate is the trailhead.","The tree in Ralph’s Grove is just one of many amazing trees nestled in the sheltered hollow of Summit Creek. This tree stands out, as it is definitely the largest cedar that is visible from the trail.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1063_Cw_Kapapa_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1064,Limby,458,40,2.55,14,2021,2021,Upper Shuswap,Cherryville,Parks/reserves,Upper Shuswap ER,50.6625,-118.359722,810,Follow the Sugar Lake FSR for 40 + km’s until reaching Shuswap Falls Creek spur. The Ecological Reserve is on the opposite (river) side of the road. The tree is located on the flat benched area near the river.,"A primeval setting, that appears ver coastal. The big limby tree has its own signature look with branches extending to touch the ground creating a sheltered cone at its base.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1064_Cw_Shuswap_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1065,Uncle Yeller,424,31,2.5,16,2021,2021,Morrissey Cr./ Ek R. ,Fernie,Parks/reserves,Nature Conservancy of CA,49.3625,-115.004444,960,Located beside the hydro transmission right of way clearing that crosses over the Elk River just upstream of where Morrissey Creek ties into the river.,"Tree has a heavy lean and thickly covered in Gold Dust lichen.  Old Yeller is located in a wonderful setting amongst many very large cedars, cottonwoods, and the Jeffy Dougy fir.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1065_Cw_Morrissey_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1066,,445,38,2.46,20,2021,2021,Lazy Lizard Trail,Fernie,Private land,Island Lake Lodge,49.506667,-115.151667,1260,The trailhead for the Lazy Lizard is located at Island Lake Lodge’s 1st parking lot. The tree is about 4 km up the trail.,"There are many large cedars that stud this trail. The sampled tree is off to the side aways, and is quite obscured by its very long branches that extend right into the surrounding alder and devil’s club.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1066_Cw_LazyLizard_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1067,Mother of Pearl,431,36,2.42,16,2021,2021,Pearl’s Shell,Fernie,Private land,Island Lake Lodge,49.491389,-115.143611,1270,"Orca Road is an old skid trail that traverses at the base of the Lizard Range. A bridge crossing Lizard Creek, just upstream of the sawdust pile meadow in Cedar Valley is the trailhead. This tree is located in a cedar studded opening once you have bushwhacked up past where the old logging was done early in the 1900’s","Mother of Pearl, as the name implies, is  a significantly larger tree amongst the other meagre giants.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1067_Cw_Pearls_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1068,,426,36,2.4,14,2021,2021,John Fenger Mem. Trail,Poplar Creek,Tree Farm Lic.,,50.4325,-117.152222,645,"Driving north on the Trout Lake Highway (gravel) from Meadow Creek, a small settlement of Poplar Creek is reached. At Rapid Creek, a well signed trailhead is positioned to direct you to the trail.",Standing in the expansive floodplain of the Lardeau River this huge tree is the first one to greet you when you enter the forest.,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1068_Cw_Fenger_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1069,,421,36,2.36,14,2021,2021,Summit Creek Park,Creston,Parks/reserves,Creston Valley WMA,49.139167,-116.638333,540,"Heading west from Creston on Highway 3 a parking lot on the right, just before the Summit Creek bridge is the starting point.",The Kootenay River has flooded these lowlands repeatedly over the lifespan of these big cedars that now languish in the well maintained grasses of a once established campground. The tree is estimated to be over 800 years.,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1069_Cw_Summitpark_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1070,,429,37.2,2.4,12,2021,2021,Downie Creek,Revelstoke,Tree Farm Lic.,,51.5,-118.370278,605,The paved Mica Creek highway travels for 100 km north of Revelstoke. Downie Creek is one of the major drainages that connect to Revelstoke Lake (see Columbia River). The tree is visible from the highway just before the Downie Creek bridge.,"With a highway on one side, a logging road on the other, this grove is pinched in just above the Downie River escarpment. A very jungly approach is required to access from the highway. From the logging spur above is much easier, as I discover on my exit.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1070_Cw_Downie_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1071,,443,42.4,2.37,13,2021,2021,Bigmouth Creek,Revelstoke,Tree Farm Lic.,,51.8275,-118.5425,670,"The paved Mica Creek highway travels for 100 km north of Revelstoke. Downie Creek is one of the major drainages that connect to Revelstoke Lake (see Columbia River). The tree is located a few km up the Bigmouth Creek FSR, where it forks down to BMX bridge.","With active logging going on all around you, and recently logged blocks visible in every direction, it is amazing this grove of trees is still standing. Luckily, and perhaps because of riparian setback requirements this grove of big trees is nestled in beside Bigmouth Creek.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1071_Cw_Bigmouth_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1072,,438,47,2.21,12.6,2021,2021,Giant Cedars Rec Site,Golden,Parks/reserves,Giant Cedars Rec. Site,51.693889,-117.498056,890,"The Big Bend Highway heads north from Highway 1 at Donald. The Giant Cedars Rec. Site is on the left side of the gravel road, and is well signed.",Located in the Help Creek floodplain the “Giant Cedars” line the trail through this very wet site. The sampled tree had its roots extending right into the creek.,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1072_Cw_Bigbend_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1073,,545,39.8,3.23,18,2021,2021,Old Growth Trail,Fernie,Private land,Island Lake Lodge,49.492222,-115.143611,1250,Following Mt. Fernie Park Rd. from Highway 3 to Island Lakes 2nd parking lot is where the trailhead to the Od Growth Trail begins.,Venturing off of the trail to a floodplain bench above Lizard Creek this massive tree stands in a meadow environment of Cow Parsnip and Devil’s club,Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1073_Cw_OldGrowth_TN_1.jpg"" target=""_blank"">1</a>            "
western redcedar^,1074,,437,36,2.46,18,2021,2021,Kidney /Liver Lakes,Lumby,Tree Farm Lic.,,50.764167,-118.625833,920,"The Wap FSR extends from Three Valley Gap to Lumby. A spur referred to as Bottoms Rd. accesses this beautiful setting, where a plentiful grove of big cedars and hemlocks reside in a large seepage area above the lakes.","A luxuriant green surrounds you as you enter into this very boggy site, where big trees are nurtured by just the right stuff.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1074_Cw_KidneyLiver_TN_1.jpg"" target=""_blank"">1</a>            "
grand fir^,1075,Upright Grand,297,47,1.05,16,2021,2021,Salmo River,Ymir,Provincial land,,49.293333,-117.2225,740,"Porto Rico Road for 800 m. Small pull-out just after bridge crossing the Salmo River. Exceptional gathering of big cedars, hemlocks, cottonwoods, and a couple grand firs, squeezed between the road and the river.","Very old tree with heavy crenelated bark, that could be mistaken for a cottonwood or hemlock. Beautiful very tall tree, with widely spreading branches.",Terry Nelson,,,,Terry Nelson,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1075_Bg_SalmoR_TN_1.jpg"" target=""_blank"">1</a>            "
black cottonwood*,1076,,,,2.47,25.7,2021,2021,Horseshoe Slough,Richmond,Private land,,49.12321,-123.103405,3,"Private land - please respect private property and view from a distance.  Drive to the Horseshoe Slough Trail trailhead in Richmond, at the South end of Shell Road. Hike South, stopping when the trail bends East. The tree will be visible from here. Bushwhack, minding the blackberry, South towards the tree and the slough. Cross the slough and arrive at the tree. ","Twin-stem cottonwood, possibly at one point two separate trees, now fused together, splitting about 2.5m from the base. Massive English ivy infestation, covering virtually 100% of the tree, likely contributing to recent loss of limbs. Large bird nest.",Sean O'Rourke,,,,Sean O'Rourke,b,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1076_Act_Richmond_SO_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1076_Act_Richmond_SO_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1076_Act_Richmond_SO_3.jpg"" target=""_blank"">3</a>      "
Sitka spruce,1077,Home Tree Spruce,,,3.4,20.9,2021,2021,San Joseph River,Holberg,Provincial land,BCTS,50.664487,-128.169977,,"Starting from Holberg, take San Joseph Main towards the coast. Turn left onto Raft Main. Take your first right onto a small side road (semi-over grown with alders). A short ways down you will see the current #1 Sitka spruce tree on your right. Park here and admire that tree before heading into the forest on the opposite side of the road (choose your own adventure as to how to get in there). Use GPS coordinates to track down the tree. An alternate route would be to bushwhack in off of Palmerston Main.","This spruce is truly out of this world! It must have grown over top of something a long time ago, creating this massive, burly, rootball base that if you measure it there, would be 4.7m wide. We measured it around the narrower trunk above. There is a noteable 'knuckle' window that sticks out off the side and reconnects with the tree creating a window. So strange!! Really one of the coolest trees either of us had ever seen before.",TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1077_SS_HomeTree_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1077_SS_HomeTree_TW_2.jpg"" target=""_blank"">2</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1077_SS_HomeTree_TW_3.jpg"" target=""_blank"">3</a>      "
Sitka spruce,1078,Spiral Spruce,,,3.46,,2021,2021,San Joseph River,Holberg,Provincial land,BCTS,50.663835,-128.167064,,"Starting from Holberg, take San Joseph Main towards the coast. Turn left onto Raft Main. Take your first right onto a small side road (semi-over grown with alders). A short ways down you will see the current #1 Sitka spruce tree on your right. Park here and admire that tree before heading into the forest on the opposite side of the road (choose your own adventure as to how to get in there). Use GPS coordinates to track down the tree.","An amazing spruce tree growing on the dividing line of dark, dreary second-growth and lush, epic old-growth. The tree's base and trunk have unique spiral shape and there is a hobbit hole on oneside providing space for an intrepid tree traveller to sit and ponder life's big questions. Well worth a visit!",TJ Watt,Ian Campbell,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1078_SS_SpiralSpruce_TW_1.jpg"" target=""_blank"">1</a>   <a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1078_SS_SpiralSpruce_TW_2.jpg"" target=""_blank"">2</a>         "
western redcedar*,1079,,,,3.78,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,"A big, beautiful cedar with lovely coloured bark that swirls around. The tree has a hole that you can crawl right through at the base!",TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1079_CW_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1080,Old Man Cedar,,,4.22,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,A giant cedar with whiteish bark. Looks like it's been around for awhile. Will probably be around for a long time still!,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1080_CW_OldManCedar_TW.jpg"" target=""_blank"">1</a>            "
western redcedar*,1081,,,,2.86,,2021,2021,Huu-ay-aht FN,Bamfield,First Nations,Huu-ay-aht,hidden,,,,A cedar covered in small burls. Looks like a witches nose!,TJ Watt,,,,TJ  Watt,c,1,"<a href=""https://bigtreesreg.sites.olt.ubc.ca/files/2021/12/1081_CW_TW.jpg"" target=""_blank"">1</a>            "
